player,highest_ELO
James Johnson,1081.88168666605
T.J. McConnell,1203.9308126055607
Myles Turner,1384.6598583024206
Pascal Siakam,1305.5701934708388
Alex Caruso,1196.728271478214
Isaiah Hartenstein,1316.6269432472295
Tony Bradley,1030.3019796687167
Thomas Bryant,1015.9023212153631
Shai Gilgeous-Alexander,1524.8707227543575
Kenrich Williams,1082.7882362025375
Andrew Nembhard,1340.684052974585
Luguentz Dort,1364.9532586030523
Obi Toppin,1267.0614263583816
Tyrese Haliburton,1379.7811136560435
Aaron Nesmith,1203.956758428748
Isaiah Joe,1251.77505364951
Isaiah Jackson,1004.2511489967396
Aaron Wiggins,1228.037577214517
Chet Holmgren,1283.480170700801
Bennedict Mathurin,1160.828897497712
Jalen Williams,1400.7002474803207
Jaylin Williams,1144.8128687033754
Ousmane Dieng,1105.077352908748
Jarace Walker,1003.583934804064
Cason Wallace,1247.693098500028
Ben Sheppard,1093.739333981685
Dillon Jones,1048.1468788033435
Johnny Furphy,1000.0
Ajay Mitchell,1068.4229703489823
P.J. Tucker,1247.9662778568666
Delon Wright,1167.2376995139832
Karl-Anthony Towns,1261.8976924252104
Cameron Payne,1138.319627033738
OG Anunoby,1271.994135138446
Josh Hart,1198.6352635135777
Mikal Bridges,1313.7724443798254
Jalen Brunson,1423.5840070673307
Mitchell Robinson,1138.3150557423032
Landry Shamet,1206.954403950039
Precious Achiuwa,1099.065405345505
Miles McBride,1091.9149449679696
Ariel Hukporti,1011.5003641651656
Tyler Kolek,1016.4059275612012
Pacome Dadiet,1007.1612580424228
Mike Conley,1473.7331399337202
Rudy Gobert,1480.000714589151
Julius Randle,1224.9770177220414
Joe Ingles,1267.295992773781
Donte DiVincenzo,1229.1009673047768
Nickeil Alexander-Walker,1107.3848501789737
Naz Reid,1127.3219677316815
Anthony Edwards,1218.6689755531506
Jaden McDaniels,1220.507137466605
Terrence Shannon Jr.,1016.0408608090684
Luka Garza,1012.5635769987344
Leonard Miller,1020.1186983273932
Josh Minott,1031.819181503968
Jaylen Clark,1021.4713298277828
Rob Dillingham,1008.8128038826146
Russell Westbrook,1685.8861835420848
DeAndre Jordan,1396.6638804911956
Aaron Gordon,1332.2447756403556
Dario Saric,1278.5798888791385
Nikola Jokic,1646.572689434001
Jamal Murray,1487.165398314094
Vlatko Cancar,1070.9214389820334
Michael Porter Jr.,1295.877789923247
Jalen Pickett,1002.725283331978
Zeke Nnaji,1053.2735296752464
Julian Strawther,1002.7385531054608
Christian Braun,1109.5883301006586
Peyton Watson,1024.5491324208997
Hunter Tyson,1003.7818114313508
Al Horford,1544.7953971291058
Jrue Holiday,1659.924253807147
Kristaps Porzingis,1154.835950040036
Jaylen Brown,1281.816909213018
Derrick White,1331.8517285953342
Luke Kornet,1040.7624767142208
Torrey Craig,1215.984294997012
Neemias Queta,1027.9966074117146
Payton Pritchard,1129.295445863419
Xavier Tillman,1142.869864735384
Sam Hauser,1153.9984901284972
JD Davison,1032.351659622669
Baylor Scheierman,1029.499434502785
Jordan Walsh,1022.1598626753006
Stephen Curry,1758.6790388765223
Jimmy Butler,1561.4768405010564
Draymond Green,1499.9970664218963
Kevon Looney,1117.644026317984
Buddy Hield,1005.7970938681248
Gary Payton II,1087.4820014358668
Kevin Knox II,1009.2839117478755
Jonathan Kuminga,1017.7456983635784
Braxton Key,1008.88055246553
Pat Spencer,1013.770853324754
Moses Moody,1037.1837212697314
Gui Santos,1046.987049813472
Trayce Jackson-Davis,1042.397848046435
Brandin Podziemski,1059.0218651789723
Quinten Post,1043.050382501105
Tristan Thompson,1135.4381221486915
Donovan Mitchell,1432.2392392435995
Jarrett Allen,1434.4928913499416
Max Strus,1284.411777173984
De'Andre Hunter,1039.8105325644915
Darius Garland,1156.0183434954856
Chuma Okeke,1020.1073075121152
Ty Jerome,1025.8131835259069
Dean Wade,1174.122273228292
Javonte Green,1139.179760286477
Isaac Okoro,1134.0240429783678
Sam Merrill,1084.027185184998
Evan Mobley,1333.6253139079872
Craig Porter Jr.,1040.9366956357933
Jaylon Tyson,1021.5932419429122
Jayson Tatum,1465.9508691002409
Jeff Green,1093.155331691724
Steven Adams,1280.552542032939
Fred VanVleet,1370.9970625507633
Dillon Brooks,1203.7665682160527
Aaron Holiday,1133.0755808095066
Jock Landale,1033.4548938969035
Jalen Green,1076.5365327392456
Jae'Sean Tate,1005.857380623758
Alperen Sengun,1126.5035022076463
Jabari Smith Jr.,1195.0210839466552
Tari Eason,1098.0225559953512
Nate Williams,1077.945138708602
Amen Thompson,1165.2754076328304
Cam Whitmore,1024.3264650524484
Reed Sheppard,1036.70367462712
Nicolas Batum,1303.0583579412846
James Harden,1667.5248625272752
Patty Mills,1173.3249579882138
Kawhi Leonard,1517.8074921149632
Bogdan Bogdanovic,1166.638275174069
Norman Powell,1209.7969332086882
Ben Simmons,1396.166483215123
Kris Dunn,1060.5851466395447
Ivica Zubac,1100.5563807574206
Derrick Jones Jr.,1274.0644975508667
Drew Eubanks,1005.2454771130988
Amir Coffey,1020.3477524681304
Kobe Brown,1019.335806855158
Jordan Miller,1019.2150349712618
Cam Christie,1003.9082718720758
Tobias Harris,1261.456641522576
Dennis Schroder,1077.385725395343
Tim Hardaway Jr.,1233.6043538600966
Malik Beasley,1192.445056949471
Isaiah Stewart,1000.1510386252544
Paul Reed,1064.4646065322763
Lindy Waters III,1036.8975942184122
Cade Cunningham,1009.2173648258906
Jalen Duren,1020.690097063954
Marcus Sasser,1013.2953241312568
Simone Fontecchio,1115.3701989797678
Ausar Thompson,1034.9073238644023
Bobi Klintman,1001.6965897791696
Ronald Holland II,1090.301449653699
LeBron James,2142.038708077795
Markieff Morris,1131.2728075463913
Alex Len,1068.4332275760223
Dorian Finney-Smith,1308.4706934617675
Maxi Kleber,1275.7384899986273
Shake Milton,1087.1396809047562
Jarred Vanderbilt,1202.1924768121328
Luka Doncic,1578.770111514094
Rui Hachimura,1062.8539964211714
Gabe Vincent,1227.4623091492078
Jaxson Hayes,1062.6268230854537
Austin Reaves,1021.912106052254
Jordan Goodwin,1016.294397033257
Dalton Knecht,1016.5742448806508
Bronny James,1000.0
Cory Joseph,1243.1813370573157
Kentavious Caldwell-Pope,1297.873900244334
Gary Harris,1198.6673128516588
Jonathan Isaac,1156.933918587009
Wendell Carter Jr.,1009.5250396131204
ga Bitadze,1035.9961120567257
