player,last_ELO
James Johnson,961.62651743746
T.J. McConnell,1190.7564377779404
Myles Turner,1367.689670769599
Pascal Siakam,1281.9561396081092
Alex Caruso,1196.727875518655
Isaiah Hartenstein,1314.7530817399124
Tony Bradley,1002.6716851791908
Thomas Bryant,949.3727167530064
Shai Gilgeous-Alexander,1523.0091121619907
Kenrich Williams,1075.1824530547149
Andrew Nembhard,1315.4512076946892
Luguentz Dort,1364.0837829262846
Obi Toppin,1251.5188223473035
Tyrese Haliburton,1360.8713245284844
Aaron Nesmith,1184.4520414657768
Isaiah Joe,1235.9812994876638
Isaiah Jackson,968.7697029634262
Aaron Wiggins,1223.1571271390262
Chet Holmgren,1282.0048272206643
Bennedict Mathurin,1142.456859512673
Jalen Williams,1400.229689198574
Jaylin Williams,1127.2527377341355
Ousmane Dieng,1102.1801437886238
Jarace Walker,1000.1433796955156
Cason Wallace,1242.0367066398376
Ben Sheppard,1088.146767014449
Dillon Jones,1041.668588948908
Johnny Furphy,982.7135905972888
Ajay Mitchell,1052.9519988410548
P.J. Tucker,1166.323720175027
Delon Wright,1134.8165343621154
Karl-Anthony Towns,1237.4103626638191
Cameron Payne,1127.5952972920927
OG Anunoby,1243.7857333972706
Josh Hart,1178.7113512668834
Mikal Bridges,1151.789864785792
Jalen Brunson,1394.7163083341509
Mitchell Robinson,1118.9569343371927
Landry Shamet,1034.561228746849
Precious Achiuwa,1076.5609430117352
Miles McBride,1064.5639715832235
Ariel Hukporti,1007.7492614413728
Tyler Kolek,1014.8239784250876
Pacome Dadiet,1004.6224918219737
Mike Conley,1453.5824655450797
Rudy Gobert,1459.103000772576
Julius Randle,1196.7350956386117
Joe Ingles,1233.089895034621
Donte DiVincenzo,1182.1196381230127
Nickeil Alexander-Walker,1063.7152961333595
Naz Reid,1098.5925632529954
Anthony Edwards,1180.3821435702944
Jaden McDaniels,1195.9585150559917
Terrence Shannon Jr.,1008.4718134124058
Luka Garza,1010.5425297605436
Leonard Miller,1020.1186983273932
Josh Minott,1029.798134265777
Jaylen Clark,1019.450282589592
Rob Dillingham,998.3115445371589
Russell Westbrook,1071.3452079668923
DeAndre Jordan,1335.5149179064697
Aaron Gordon,1249.2399561897748
Dario Saric,1173.7495178748964
Nikola Jokic,1559.0844239993337
Jamal Murray,1400.2714894627936
Vlatko Cancar,1045.6066531203453
Michael Porter Jr.,1204.2290477317251
Jalen Pickett,965.3011141575372
Zeke Nnaji,1026.7145601845186
Julian Strawther,978.4965397264932
Christian Braun,1032.0543570584855
Peyton Watson,982.0688338821724
Hunter Tyson,972.1249240812184
Al Horford,1470.1176377748257
Jrue Holiday,1596.2528733235183
Kristaps Porzingis,1087.4763583942408
Jaylen Brown,1179.241494965358
Derrick White,1261.0257090481523
Luke Kornet,1016.6466601599512
Torrey Craig,1036.5294224144884
Neemias Queta,1022.8961658398828
Payton Pritchard,1082.5223706438217
Xavier Tillman,1104.4967153904151
Sam Hauser,1147.0047450774878
JD Davison,1029.5372147916876
Baylor Scheierman,1020.506401492848
Jordan Walsh,1017.9009857742374
Stephen Curry,1577.5003841542016
Jimmy Butler,1474.5911280300552
Draymond Green,1357.1895132096306
Kevon Looney,1029.3207624228526
Buddy Hield,952.4940499871624
Gary Payton II,1062.1530688114044
Kevin Knox II,788.2610155244474
Jonathan Kuminga,902.916480630098
Braxton Key,970.2809156826146
Pat Spencer,991.4771402662892
Moses Moody,1008.8978851079028
Gui Santos,1026.4271541712112
Trayce Jackson-Davis,984.234057175694
Brandin Podziemski,1012.8082054659022
Quinten Post,1024.9966862500962
Tristan Thompson,866.1115742388183
Donovan Mitchell,1382.1309609208342
Jarrett Allen,1392.9089395233927
Max Strus,1242.8670861721812
De'Andre Hunter,1011.7027882140328
Darius Garland,1128.8073759997974
Chuma Okeke,909.0838283034428
Ty Jerome,929.7727064532164
Dean Wade,1144.1200284399556
Javonte Green,1028.477601748702
Isaac Okoro,1099.3144765700672
Sam Merrill,1065.7522378100032
Evan Mobley,1301.591139605304
Craig Porter Jr.,1026.149970566804
Jaylon Tyson,1012.0590662185936
Jayson Tatum,1368.7920950669484
Jeff Green,920.2870355417734
Steven Adams,1271.0682225404828
Fred VanVleet,1354.8294920169906
Dillon Brooks,1181.1459341080829
Aaron Holiday,1133.0755808095066
Jock Landale,1027.4356065215609
Jalen Green,1064.6267817016546
Jae'Sean Tate,851.7091291193021
Alperen Sengun,1111.785607451218
Jabari Smith Jr.,1187.0457320321818
Tari Eason,1090.9471272321389
Nate Williams,970.2496263313902
Amen Thompson,1131.4324341440702
Cam Whitmore,995.4477602653344
Reed Sheppard,1013.3027145157704
Nicolas Batum,1170.14897215538
James Harden,1589.0668447868643
Patty Mills,892.4744374311848
Kawhi Leonard,1453.500250210557
Bogdan Bogdanovic,1130.357196324343
Norman Powell,927.351422197371
Ben Simmons,1338.1109475657886
Kris Dunn,961.1879870453466
Ivica Zubac,1066.68865087139
Derrick Jones Jr.,1262.1622962251106
Drew Eubanks,835.1595894129905
Amir Coffey,954.9199078716156
Kobe Brown,993.1381569623484
Jordan Miller,1001.6011698082406
Cam Christie,999.931821791914
Tobias Harris,1248.5908049660718
Dennis Schroder,939.9927262061368
